id,type,question,answer,options
1,MCQ,Does Spark handle storage directly?,No  it relies on external storage (e.g. HDFS S3),Yes;No;Only for small datasets
1,Fill,Spark's __________ API allows reading/writing data from external storage.,DataFrameReader/DataFrameWriter,
1,TrueFalse,Spark stores data permanently in its executors' memory.,FALSE,
1,Scenario,"Your Spark job fails with ""No space left on device"". What's the first check?",Verify external storage (e.g., S3/HDFS) availability
1,MCQ,Which storage systems integrate with Spark?,"HDFS, S3, ADLS, GCS",HDFS;S3;ADLS;GCS;All
2,MCQ,What is the primary goal of partitioning in Spark?,Distribute data evenly across executors,Faster UI;Smaller logs;Even data distribution
2,Fill,"For a 1TB dataset, use __________ partitions as a starting point.",200,
2,TrueFalse,More partitions always improve performance.,FALSE,
2,Scenario,Your Spark job has 10 tasks; 9 finish in 1min, 1 takes 1hr. How to fix?,Repartition to address skew
2,Fill,Use __________ to inspect partition sizes.,df.rdd.mapPartitionsWithIndex(),
3,MCQ,How to remove duplicates in PySpark?,dropDuplicates(),distinct();dropDuplicates();filter()
3,Fill,"To remove nulls, use df.__________().",na.drop(),
3,TrueFalse,df.distinct() is faster than dropDuplicates() for large datasets.,FALSE,
3,Scenario,Duplicate records appear after a join. How to prevent?,Use distinct keys or dropDuplicates post-join,
3,MCQ,Which method removes both duplicates AND nulls?,df.na.drop().dropDuplicates(),distinct();dropDuplicates();na.drop() combo
4,MCQ,What causes OOM errors in Spark?,Insufficient executor memory,Small data;Insufficient memory;Too few partitions
4,Fill,"To fix OOM, increase __________ or reduce __________.",executor memory;partition size,
4,TrueFalse,Setting `spark.sql.shuffle.partitions=1000` always prevents OOM.,FALSE,
4,Scenario,OOM occurs during a groupBy. How to optimize?,Increase partitions or use reduceByKey,
4,MCQ,Which config parameter directly affects executor memory?,spark.executor.memory,spark.driver.memory;spark.executor.memory;spark.shuffle.partitions
5,MCQ,What is the default broadcast join threshold in Spark?,10MB,1MB;10MB;100MB
5,Fill,"To force a broadcast join, use __________.",broadcast() hint,
5,TrueFalse,Broadcast joins work well for large tables.,FALSE,
5,Scenario,Broadcast join fails due to table size. What's the alternative?,Sort-merge join with partitioning,
5,MCQ,Which join type minimizes shuffling?,Broadcast join,Broadcast;Sort-merge;Nested loop
6,MCQ,What is Delta Lake's primary advantage over Parquet?,ACID transactions,Faster reads;ACID;Smaller files
6,Fill,"To enable schema evolution in Delta, set __________.",spark.databricks.delta.schema.autoMerge.enabled=true,
6,TrueFalse,Delta Lake time travel requires manual version snapshots.,FALSE,
6,Scenario,A pipeline breaks after a source schema change. How to fix Delta tables?,Use `MERGE` or autoMerge,
6,MCQ,Which command shows Delta table history?,DESCRIBE HISTORY,DESCRIBE DETAIL;DESCRIBE HISTORY;SHOW VERSIONS
7,MCQ,What is the purpose of Unity Catalog?,Data governance and access control,Job scheduling;Data governance;Cost tracking
7,Fill,"To grant table access in Unity Catalog, use __________.",GRANT SELECT,
